feature,perm_importance_auc_drop
txt_title_has_mention,0.10749999999999993
len_bucket_very_short,0.09999999999999992
len_bucket_very_long,0.039999999999999925
txt_title_has_question,0.02499999999999991
len_bucket_mid,0.019999999999999907
len_bucket_long,0.012499999999999956
txt_title_has_hashtag,0.0024999999999999467
acct_uploader_len,0.0
acct_uploader_digits_ratio,0.0
acct_creator_verified,0.0
acct_creator_follower_log,0.0
acct_creator_posts_log,0.0
txt_title_has_url,0.0
len_bucket_nan,0.0
len_bucket_short,-0.0050000000000000044
txt_title_has_exclaim,-0.01750000000000007
txt_title_len_chars,-0.025000000000000022
txt_title_len_words,-0.032500000000000084
len_duration_s,-0.03750000000000009
