rank,group,video_id,uploader,likes,comments,views,shares,engagement_score,title,duration_s,source_file,is_viral_proxy
10,top,7219026508239686954,6751051329931609094,2000000,7103,18000000,31700,2014206,Hype House is going through some changes. Thank you all for supportin...,8,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
19,top,7231352152743152942,6751051329931609094,1500000,1492,15300000,18500,1502984,I somehow got unbreakable hangers,28,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
89,normal,7236485370542624042,6751051329931609094,87600,213,4000000,340,88026,Rate our mini house #MakingMyWay,18,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
22,normal,7239370205254929710,6751051329931609094,47900,222,3700000,181,48344,#ad Are you team chipIN or team chipOUT? @lays #chipinchipout  #STAYG...,38,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
44,normal,7303636279936322862,6751051329931609094,59100,214,8300000,155,59528,How would you do gift wrapping without seeing?🎁 Discover amazing find...,61,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
38,normal,7396801365420461358,6539853526925841423,52700,224,3100000,368,53148,pool day,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
80,normal,7397877687269772574,6539853526925841423,32200,471,4300000,160,33142,had the most amazing time launching our @D’Amelio Footwear collection...,30,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
14,top,7400546786047298846,6539853526925841423,1900000,1805,20100000,17000,1903610,TikTok video #7400546786047298846,9,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
18,normal,7413886018639744286,6539853526925841423,26500,253,3800000,477,27006,my @Chopard ice cube stack,18,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
40,normal,7416040047637433630,6539853526925841423,27500,232,3800000,191,27964,grwm @BOSS ,10,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
96,normal,7417155830354677022,6539853526925841423,84500,364,5400000,702,85228,👽 @Diesel #DieselSS25,13,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
48,normal,7418187878360026399,6539853526925841423,62200,373,5900000,408,62946,milan fittings ☑️☑️☑️,56,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
55,normal,7418609202073046302,6539853526925841423,111100,535,7800000,767,112170,the fitting vs the final look @BOSS  @Versace  @FERRAGAMO  @Diesel  #...,24,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
71,normal,7433507168529304862,6539853526925841423,52200,508,9200000,704,53216,ootd ft. @Chopard ,20,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
26,normal,7437523439310654750,6539853526925841423,85000,510,10200000,791,86020,my new collection with @Pull&Bear 😻😻 #pullandbearcommunity ,47,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
14,normal,7439471913715485998,6751051329931609094,78900,694,18500000,1248,80288,Join the #TalkieChallenge and prank your friends with AI characters l...,84,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
72,top,7456887093139164458,209793,501900,1369,4300000,7746,504638,uhhhhhhhhhh,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
1,top,7461297586738154798,6751051329931609094,8500000,22800,79400000,504800,8545600,Goodbye TikTok 🫡,12,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
18,top,7461341656470637867,209793,1700000,5303,9000000,62300,1710606,I’m gonna cry,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
17,top,7461348964126706987,209793,1700000,5462,9900000,58800,1710924,TikTok video #7461348964126706987,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
