video_id,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie
top_53_likes_729700_id_7542648831586880823,0.2149532710280373,9.150545,107,107.0,1,0,1.8,1.6,happy,0,0.0,Vlog
top_45_likes_780200_id_7548598130665622804,0.1923076923076923,6.863052,26,26.0,1,0,1.8,1.0,happy,1,0.0,Vlog
top_96_likes_365300_id_7560113050100043026,0.2909090909090909,5.5285826,55,55.0,1,0,1.6,1.2,sad,1,0.0,Beauty
top_32_likes_1000000_id_7556001068405050638,0.1106719367588932,9.759456,253,253.0,1,0,1.0,1.0,happy,1,0.0,Vlog
top_19_likes_1500000_id_7231352152743152942,0.0,3.9068198,29,29.0,1,0,2.0,1.6,happy,1,-0.4767,Fitness
normal_11_likes_30500_id_7559969376590515470,0.3448275862068966,4.9729733,29,29.0,1,0,2.6,1.0,neutral,1,0.0,Unboxing
normal_2_likes_58100_id_7525148037694393614,0.2121212121212121,5.6383076,33,33.0,1,0,2.0,1.2,angry,1,0.0,Vlog
normal_59_likes_47900_id_7535597272009116958,0.0,6.910413,56,56.0,1,0,2.6,1.2,happy,1,0.0,Vlog
top_47_likes_769700_id_7541499742363110663,0.1451612903225806,7.3720307,62,62.0,1,0,2.4,1.2,sad,1,0.0,Vlog
top_48_likes_756500_id_7503547470006226198,0.0,6.068929,34,34.0,1,1,3.0,1.0,neutral,1,0.0,Prank
normal_46_likes_82100_id_7558847527311740174,0.1666666666666666,6.3231916,30,30.0,1,0,2.2,1.4,happy,1,0.0,Vlog
normal_57_likes_13500_id_7518459843343060238,0.1578947368421052,2.4478047,133,133.0,1,0,3.0,1.2,fear,0,0.0,Vlog
normal_36_likes_12100_id_7556652844523310367,0.0441176470588235,4.544602,68,68.0,1,0,5.2,2.2,happy,1,-0.1779,Vlog
normal_35_likes_58200_id_7540363753703869751,0.0508474576271186,8.886277,59,59.0,0,0,0.8,1.2,angry,1,0.0,Vlog
normal_99_likes_110000_id_7548522029700353293,0.0,3.3485425,49,49.0,1,0,10.4,3.4,neutral,1,0.0,Comedy
