feature,importance
txt_title_has_hashtag,0.18496306
video_kategorie_Comedy,0.05636905
txt_title_has_mention,0.04115448
chroma_var_6,0.04060144
schnitt_frequenz,0.0363363
spectral_bandwidth_std,0.036279388
chroma_var_1,0.035103027
durchschnittliche_bewegung,0.034315027
spectral_centroid_mean,0.031292565
anzahl_frames,0.029755149
chroma_var_0,0.029589001
chroma_var_11,0.029494615
rms_mean,0.029353788
chroma_var_8,0.028700728
speech_ratio,0.028069455
text_sentiment_compound,0.02780932
avg_objekte_pro_frame,0.02723215
chroma_var_10,0.02690894
spectral_centroid_std,0.026847582
chroma_var_9,0.026212992
chroma_var_3,0.025915248
rms_std,0.024497736
chroma_var_7,0.022354472
chroma_var_4,0.02156865
spectral_bandwidth_mean,0.02126704
video_kategorie_Prank,0.01872905
bpm,0.018548537
chroma_var_5,0.018170642
chroma_var_2,0.012486542
avg_gesichter_pro_frame,0.010074067
video_kategorie_Tier,0.0
video_kategorie_Tanz,0.0
video_kategorie_Reise,0.0
video_kategorie_Musik,0.0
video_kategorie_Gaming,0.0
video_kategorie_Fitness,0.0
video_kategorie_Fashion,0.0
video_kategorie_DIY,0.0
ist_tier_sichtbar,0.0
dominante_emotion_surprise,0.0
dominante_emotion_sad,0.0
dominante_emotion_neutral,0.0
dominante_emotion_happy,0.0
dominante_emotion_fear,0.0
ist_text_eingeblendet,0.0
ist_person_prominent,0.0
video_dauer_sek,0.0
txt_title_has_question,0.0
video_kategorie_Unboxing,0.0
